廣告名稱,廣告編號,廣告組合名稱,廣告投遞,成果,每次成果成本,花費金額 (USD),觸及人數,曝光次數
0426 I 人的長遠經營法,120220257203550783,L06-25-44-類似受眾_名單 2% 0413,,13,3.4615,45.0,5626,6325
0623 Ｉ人變體Ｃ_不跟風,120226368838380783,L06-25-44-類似受眾_學員 1% 0409,,24,3.0867,74.08,6912,8503
0912 I 人變體Ｂ_反預設,120231851090270783,L07-25-44-類似受眾_諮詢 1% 0413,,11,4.4636,49.1,3307,3943
0917 用知識發光,120232166679900783,L11-30-50 創業 0917,,30,2.314,69.42,7836,9775
1031 不日更坐收長遠效益,120234830077320783,L06-25-44-類似受眾_學員 1% 0409,,0,,1.9,225,258
1209 安靜擴張事業藍圖,120237101955040783,L11-30-50 創業 0917,,5,1.282,6.41,749,768
1209 安靜擴張事業藍圖,120237101996710783,L06-25-44-類似受眾_學員 1% 0409,,0,,0.49,54,57
0307 用知識發光 - 複本,120240827446360783,L11-30-50 創業 0917,,1,1.0,1.0,155,156
0327 假裝外向,120241838885270783,L06-25-44-類似受眾_名單 2% 0413,,8,4.5137,36.11,5284,6326
0327 假裝外向,120241841146670783,L07-25-44-類似受眾_諮詢 1% 0413,,21,3.1024,65.15,7533,9065
0327 90% 新手踩坑,120241842135890783,L06-25-44-類似受眾_名單 2% 0413,,11,3.25,35.75,1952,3131
