廣告名稱,廣告編號,廣告組合名稱,廣告投遞,成果,每次成果成本,花費金額 (USD),觸及人數,曝光次數
0426 I 人的長遠經營法,120220257203550783,L06-25-44-類似受眾_名單 2% 0413,,14,3.9329,55.06,5958,7265
0623 Ｉ人變體Ｃ_不跟風,120226368838380783,L06-25-44-類似受眾_學員 1% 0409,,19,3.8716,73.56,5795,7134
0912 I 人變體Ｂ_反預設,120231851090270783,L07-25-44-類似受眾_諮詢 1% 0413,,32,3.0444,97.42,7295,9137
0917 用知識發光,120232166679900783,L11-30-50 創業 0917,,0,,1.2,171,180
1209 安靜擴張事業藍圖,120237101955040783,L11-30-50 創業 0917,,19,4.1084,78.06,5845,7974
0429 定位不明,120244145448770783,L06-25-44-類似受眾_學員 1% 0409,,0,,0.0,1,1
0504 不露臉自媒體 2.0,120244145975430783,L06-25-44-類似受眾_名單 2% 0413,,2,5.68,11.36,813,995
0429 不露臉自媒體 2.0,120244146153240783,L07-25-44-類似受眾_諮詢 1% 0413,,7,2.91,20.37,1749,2244
0429 用文字決勝,120244146339520783,L06-25-44-類似受眾_名單 2% 0413,,10,4.617,46.17,3090,3988
