廣告名稱,廣告編號,廣告組合名稱,廣告投遞,成果,每次成果成本,花費金額 (USD),觸及人數,曝光次數
0426 I 人的長遠經營法,120220257203550783,L06-25-44-類似受眾_名單 2% 0413,,26,3.7527,97.57,9545,12321
0623 Ｉ人變體Ｃ_不跟風,120226368838380783,L06-25-44-類似受眾_學員 1% 0409,,29,4.4438,128.87,9437,12315
0912 I 人變體Ｂ_反預設,120231851090270783,L07-25-44-類似受眾_諮詢 1% 0413,,55,2.8262,155.44,10913,14749
0917 用知識發光,120232166679900783,L11-30-50 創業 0917,,0,,1.2,171,180
1031 不日更坐收長遠效益,120234830077320783,L06-25-44-類似受眾_學員 1% 0409,,1,0.36,0.36,48,54
1209 安靜擴張事業藍圖,120237101955040783,L11-30-50 創業 0917,,31,4.3377,134.47,8522,13648
0327 90% 新手踩坑,120241842135890783,L06-25-44-類似受眾_名單 2% 0413,,1,6.77,6.77,440,475
0429 定位不明,120244145448770783,L06-25-44-類似受眾_學員 1% 0409,,0,,4.62,253,314
0504 不露臉自媒體 2.0,120244145975430783,L06-25-44-類似受眾_名單 2% 0413,,2,5.68,11.36,813,995
0429 不露臉自媒體 2.0,120244146153240783,L07-25-44-類似受眾_諮詢 1% 0413,,10,4.58,45.8,2781,4013
0429 用文字決勝,120244146339520783,L06-25-44-類似受眾_名單 2% 0413,,17,4.9265,83.75,4770,7253
